Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Contacts Under Follow-up,HCW Contacts Under Follow-up,Total Contacts Under Follow-Up,Cumulative Contacts Under Follow-up,Total Suspected Cases,,
24-Mar-20,Adamawa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,A/Ibom,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Bauchi,1,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Bayelsa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Cross River,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Delta,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Ebonyi,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Edo ,2,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Ekiti,4,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,FCT,52,4,8,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,1,0,,,,,,,
24-Mar-20,Kano,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Katsina,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Lagos,88,7,29,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Nassarawa,5,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Ogun ,4,1,3,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,2,,,,,,,
24-Mar-20,Ondo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Oyo,1,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Plateau,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Rivers,6,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
24-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b18fe4f50f2526a2afd6bac1af671c6f.pdf,0,0,,,,,,,
25-Mar-20,Adamawa,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
25-Mar-20,A/Ibom,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
25-Mar-20,Bauchi,5,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
25-Mar-20,Bayelsa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
25-Mar-20,Cross River,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
25-Mar-20,Delta,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
25-Mar-20,Ebonyi,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/d65f1ee5ede23260500c7b245c01bb32.pdf,0,0,,,,,,,
